Skeleton ID,Frontal - Left,Frontal - Right,Parietal - Left,Parietal - Right,Occipital,Temporal - Left,Temporal - Right,Sphenoid,Ethmoid,Vomer,Nasal - Left,Nasal - Right,Zygomatic - Left,Zygomatic - Right,Maxilla - Left,Maxilla - Right,Palatine - Left,Palatine - Right,Hyoid,Mandible,Unidentified Cranial Fragments,LXI1,LXI2,LXC,LXPM3,LXPM4,LXM1,LXM2,LXM3,RXI1,RXI2,RXC,RXPM3,RXPM4,RXM1,RXM2,RXM3,LNI1,LNI2,LNC,LNPM3,LNPM4,LNM1,LNM2,LNM3,RNI1,RNI2,RNC,RNPM3,RNPM4,RNM1,RNM2,RNM3,Clavicle - Left,Clavicle - Right,Scapula - Left,Scapula - Right,Patella - Left,Patella - Right,Sacrum,Ilium - Left,Ilium - Right,Ischium - Left,Ischium - Right,Pubis - Left,Pubis - Right,Coccyx,C1,C2,C7,C3-6,T1-9,T10,T11,T12,L1,L2,L3,L4,L5,LXdI1,LXdI2,LXdC,LXdM1,LXdM2,RXdI1,RXdI2,RXdC,RXdM1,RXdM2,LNdI1,LNdI2,LNdC,LNdM1,LNdM2,RNdI1,RNdI2,RNdC,RNdM1,RNdM2,Vertebral Fragments,Sternum,1st Rib - Left,1st Rib - Right,2nd Rib - Left,2nd Rib - Right,11th Rib - Left,11th Rib - Right,12th Rib - Left,12th Rib - Right,3-10 Ribs - Left,3-10 Ribs - Right,Ribs - Unsided,Humerus - Left,Humerus - Right,Radius - Left,Radius - Right,Ulna - Left,Ulna - Right,Femur - Left,Femur - Right,Tibia - Left,Tibia - Right,Fibula - Left,Fibula - Right,Talus - Left,Talus - Right,Calcaneus - Left,Calcaneus - Right,Carpals - Left,Carpals - Right,Metacarpals - Left,Metacarpals - Right,Hand Phalanges,Tarsals - Left,Tarsals - Right,Metatarsals - Left,Metatarsals - Right,Foot Phalanges,Inventory Comments,Ossified Cartilage,Rhomboid Fossa - L,Rhomboid Fossa - R
"ET98",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,0,0,0,"7","5","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, scaph, gr mult, less mult, triq, pisi","cap, ham, lun, scaph, less mult","1, 2, 3, 4, 5","1, 2, 3, 4","10 prox, 2 interm, 1 dist","navic","cub, navic, 1st, 2nd, 3rd cunei","5","1, 2, 3, 5","1 distal","One sesamoid bone attached to the plantar side of the R MT1.",0,"Absent","Absent"
"F10A",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,0,"6","5","20","Complete","Complete","Prox Third","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,0,1,0,"gr mult","hamate","1, 2","1, 2","3 prox, 1 interm","navicular, cuboid, 3rd cunei",,"5","1, 5","1 prox","1 additional MC (prox, unable to determine).  4 MTs (2L, 2R).  Two other MTs that are probably from another individual (one too small and no path, one subadult).  Added 5/17/07 - R hamate, hyoid, 3 phalanges (1 prox, 1 interm hand; 1 prox foot).",0,"Absent","Absent"
"F10B",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,1,0,"7","3","0","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Middle Third",1,1,0,0,,,,,,,,"1",,,"2 MCs, unidentifiable.  Only one sacral segment (2).  Manubrium and sternebra 1 present.  One hyoid horn.  Only present epiphyses are L distal femur, L prox tibia, R prox and distal tibia.",0,"Absent","Absent"
"F10C",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,"2","6",0,0,0,0,1,1,1,1,,,,,,,,,,,,,,"4","4",,,,"4","4",0,0,0,0,0,0,0,0,0,0,"0","0","0","Distal Third","Distal Third","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Middle Third","Middle Third","Middle Third",0,1,0,0,,,,,,"1st cunei, 2nd cunei","navic",,"5",,"Bones added 5/17/07 - All verts (except C2), frags of both scapulae, sacrum, occipital frags, tarsals, MT5, 1 MT and 1 MC unidentifiable.",0,,
"F10D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,"4",0,0,0,0,0,0,0,0,0,0,"0","0","0","Complete","Distal Third",,,,,"Complete","Distal Third","Distal Third","Middle Third","Middle Third","Middle Third",1,1,0,1,,,,,,,,,,,"One fragment of long bone, probably radius but unidentifiable.",0,"Absent",
"F10E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,"Middle Third","Middle Third",,,0,0,0,0,,,,,,,,,,,,0,,
"F11A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,"2","8",1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,1,1,"7","8","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",,"Complete",,"Complete",0,0,1,1,,,,"4, 5",,"cuboid, 1st cuneiform","navicular","1","1, 5","1 prox","2 additional MTs.",0,"Absent","Absent"
"F11B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","8",1,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,0,"8","8","5","Complete","Complete",,"Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,0,1,1,"hamate, scaphoid","gr mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","7 prox, 2 interm","navic, cuboid, 1st cunei, 3rd cunei","cuboid, 1st cunei","1, 5","1, 5","1 prox 1st","3 more MTs (2 L and 1 R).",0,"Absent","Present"
"F11C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","6",0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,"5","1","5","Complete","Prox Third",,"Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"capitate","capitate","1, 2, 5","1, 5","5 prox, 1 interm","navicular","navicular, 2nd cunei",,,,"XM3s are not fully formed yet. 1 unsideable MC, 2 unsideable MTs.  1 pisiform. S1, 2, 4, 5 (no S3).  1 calcaneal epiphysis, L coranoid process of scapula, L greater troch.",0,"Absent","Absent"
"F11D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,"Distal Third",,"Complete",,,,,,,0,0,0,0,,,,,,,,,,,"Max length of the ulna = 184mm.",0,,
"F12A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,"4","9",1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,0,"8","7","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun","gr mult","2, 3, 4","1","6 prox, 3 interm, 2 distal","navic, cub, 1st, 2nd, 3rd cunei","navic, cub, 1st cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox (2 1st), 1 1st distal","One more R MC, unsure which one because prox end is broken.",0,"Absent","Absent"
"F13A",1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,"4","5",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,1,1,"8","6","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Middle Third","Middle Third",1,1,0,0,,,,,"1 prox 1st",,,"5","5","2 prox","Also present are three MCs that are unidentifiable as to number or side.  Both distal fibula epiphyses are present, and both proximal humeral epiphyses are as well.  No other epiphyses present.",0,"Present","Present"
"F13B",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,,"8",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,1,"8","5","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",,"Distal Epiph",,,0,0,0,1,,,,,,,"cuboid",,,,"Also included is one fibula shaft, unsideable.",0,"Absent","Absent"
"F13C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,"2","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,"5","7","10","Complete","Complete","Complete","Complete","Complete","Complete",,"Complete","Complete","Complete","Complete","Complete",0,1,0,1,,,,,"1 proximal",,"1st cunei, cuboid","1, 5","1","1 prox 1st","3 additional MTs",0,"Absent","Absent"
"F1A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"3","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,0,"8","7","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,"scaph, hamate","1, 2, 3, 4","1, 2, 3","1 prox, 2 interm",,,"1, 2, 3, 4, 5","1, 2, 3, 4, 5","2 prox","Because hand and foot bones are mixed, it's unclear if the phalanges go w/ this individual specifically.  Because of the size and state of development, I feel 75% confident these phalanges go with this individual.  See commingled form for remaining bones.",0,"Absent","Absent"
"F1B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,"3","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,0,"7","8","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, scaph, gr mult","cap, ham, lun, gr mult, less mult","1, 2, 3, 4","1, 2, 3, 4, 5","8 prox, 3 interm, 2 distal","1st cunei, cuboid, navicular","cuboid, navicular, 1st, 2nd, 3rd cuneiforms","1, 2, 3, 4, 5","1, 2, 3, 4, 5","4 prox, 1 distal","Congenital absence of XM3s.  Surprising lack of patellae.  Don't think C3 goes with this individual.  It's too small.  Appear to be actually missing C4.",0,"Absent","Present"
"F1C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,1,1,1,"7","4","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,,"1",,"2 prox, 1 interm","navic, cuboid, 1st cunei","cuboid, 1st cunei","1, 5","1, 5","1 prox","3 additional MTs, one L and 2 R.",0,"Absent","Present"
"F1D",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,"8","8","0","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"capitate","lunate","1, 3, 4, 5","2, 3, 4, 5","1 prox","cuboid","cuboid, navicular","1, 5","1, 5","2 prox 1st","5 additional MTs, unsideable. R prox 1st foot phalanx is present only as a distal epiphysis.  Almost all of the epiphyses are present.",0,"Absent","Present"
"F2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,"Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,,,,,"navicular, 2nd cunei",,,,,"Femora and ulna are broken but mostly or all complete.  L calcaneus is fragmentary.",0,,
"F2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,"Complete",,"Complete",,,"Complete","Distal Third","Complete",,1,0,0,0,,,,,,,,,,,,0,,
"F2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,"Only one bone present in a forma of commingled remains.",0,,"Absent"
"F3A",1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,
"F3B",1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,"Frontal bones are complete, parietals are fragmentary, as is occipital and sphenoid.",0,,
"F3C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,"8","8","6","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph, less mult","scaph","1, 2, 3, 4, 5","2","5 prox, 1 interm","cuboid","cuboid","2, 3, 5","1, 3, 4, 5",,,0,"Absent","Absent"
"F4A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"2","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,"8","8","0","Complete","Complete","Distal Third","Prox Third","Prox Third","Prox Third","Prox Third","Prox Epiph","Complete","Complete","Complete","Complete",1,1,1,1,,,"3, 4","2, 3","1 prox, 1 interm","cuboid, 2nd cunei","cuboid, 1st cunei","2, 3, 4, 5","2, 4, 5","2 proximal","One tooth found bagged with the feet.  It's an LXM2 or 3, but it does not go with this subadult.  Also found were at least one adult rib, a long bone fragment, and an animal bone (sacrum?).",0,"Absent","Present"
"F4B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"3","9",0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,1,"8","6","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,"hamate","1, 2, 3, 4","1, 2, 3, 4, 5","5 prox, 1 interm, 1 distal","cuboid, 1st cunei","cuboid, 1st cunei, navicular","1, 5","1, 5","3 prox","5 unsided MTs.  2 bones that I can't figure out what they are (see photo).",1,"Absent","Absent"
"F4C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"4","8",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,0,0,"6","6","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"hamate","cap, ham, lun, scaph, gr mult","1, 2, 3, 4","1, 2, 3, 4","9 prox, 1 dist","navic, 3rd cunei","cuboid, navic","1, 2, 3, 4","1, 3, 4, 5","1 prox",,0,"Absent","Absent"
"F4D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,"0","0","0","Prox Epiph","Prox Epiph",,"Distal Third",,,,"Prox Epiph","Distal Epiph","Prox Epiph/Distal Epiph",,,1,1,1,1,,,,"2, 4","1 prox, 1 dist","navic, 1st cunei",,"5","1, 5",,"4 additional MTs.  5 additional bone fragments, unidentifiable (1 long bone, 1 epiphysis, 1 flat bone [poss. ilium], 2 unknown).",0,,
"F5A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"4","9",0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,0,1,1,"0","7","9","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,,"2, 3, 4","2, 3, 4, 5","1st prox; 2 prox","cuboid","navicular, 1st cuneiform","1, 3, 5","1, 2, 3, 4, 5","2 1st prox; 2 prox","No 3rd molars: congenital absence.  One extra MT5 included with this individual (not recorded in the inventory).  Unknown if there was enough L clav to tell if rhomboid fossa.",0,,"Present"
"F6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,"Complete","Distal Third","Complete","Complete","Complete","Complete",1,1,1,1,,,,,,,"cuboid",,"1, 2, 3, 4, 5","1 R proximal",,0,,
"F6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"1","0","0","Complete",,"Complete",,,,,,,,"Complete",,0,0,0,0,,,,,,,,,,,"Sacrum = S3 and S4 unfused segments.  Side of fibula is a guess, but probably L.  ""Complete"" means entire bone except epiphyses is present.  6/05/07 - One L vert found with F6E; probably L5 from this individual.",0,,
"F6C",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"2","3","0","Complete",,,,,,"Complete",,,,,,0,0,0,0,,,,,,,,,,,"Only R half of mandible present.  No epiphyses.  No teeth.  6/5/07 - L half of mandible found with F6E.  Teeth buds added to the dental database.",0,,
"F6D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,"Distal Third",0,0,0,1,,,"2","4","1 prox","cuboid, navicular","cuboid, 1st cuneiform","1, 3, 4, 5","1, 2, 3, 4",,"There are two right 1st cuneiforms present.  No idea which belongs to this individual.",0,,
"F6E",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,"8","7","10","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",0,1,1,1,"ham, cap, less mult",,"2, 3, 4","2, 3, 4","3 prox","navic, 3rd cunei","cuboid, 1st cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","4 prox",,0,"Absent","Absent"
"F7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,"Distal Epiph",,,,"Complete","Complete","Complete","Complete","Complete","Prox Third",1,1,1,1,,,"5","1, 5","3 prox, 3 interm, 1 distal","cuboid",,"5","1, 5","2 prox, 1 distal","Also included: one prox epiph of a MC, three MTs, unidentifiable as to number or side.  2 unidentifiable bone fragments.",0,,
"F7B",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,"7","3","0","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Prox Third","Middle Third","Middle Third",1,1,1,1,"cap, ham, lun, scaph, gr mult, less mult",,"1, 2, 3, 4, 5","1, 2, 5","5 prox, 2 interm","1st cunei","navicular",,"5",,"2 MTs, unsideable.  2 distal tibial epiphyses.  Fibulae mostly complete except for epiphyses.",0,"Unknown (fragmented clavicle)","Present"
